;school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
0;GP;0;18;U;GT3;A;4;4;at_home;teacher;course;mother;2;2;0;1;0;0;0;1;1;0;0;4;3;4;1;1;3;6;5;6;6
1;GP;0;17;U;GT3;T;1;1;at_home;other;course;father;1;2;0;0;1;0;0;0;1;1;0;5;3;3;1;1;3;4;5;5;6
2;GP;0;15;U;LE3;T;1;1;at_home;other;other;mother;1;2;3;1;0;1;0;1;1;1;0;4;3;2;2;3;3;10;7;8;10
3;GP;0;15;U;GT3;T;4;2;health;services;home;mother;1;3;0;0;1;1;1;1;1;1;1;3;2;2;1;1;5;2;15;14;15
4;GP;0;16;U;GT3;T;3;3;other;other;home;father;1;2;0;0;1;1;0;1;1;0;0;4;3;2;1;2;5;4;6;10;10
5;GP;1;16;U;LE3;T;4;3;services;other;reputation;mother;1;2;0;0;1;1;1;1;1;1;0;5;4;2;1;2;5;10;15;15;15
6;GP;1;16;U;LE3;T;2;2;other;other;home;mother;1;2;0;0;0;0;0;1;1;1;0;4;4;4;1;1;3;0;12;12;11
7;GP;0;17;U;GT3;A;4;4;other;teacher;home;mother;2;2;0;1;1;0;0;1;1;0;0;4;1;4;1;1;1;6;6;5;6
8;GP;1;15;U;LE3;A;3;2;services;other;home;mother;1;2;0;0;1;1;0;1;1;1;0;4;2;2;1;1;1;0;16;18;19
9;GP;1;15;U;GT3;T;3;4;other;other;home;mother;1;2;0;0;1;1;1;1;1;1;0;5;5;1;1;1;5;0;14;15;15
10;GP;0;15;U;GT3;T;4;4;teacher;health;reputation;mother;1;2;0;0;1;1;0;1;1;1;0;3;3;3;1;2;2;0;10;8;9
11;GP;0;15;U;GT3;T;2;1;services;other;reputation;father;3;3;0;0;1;0;1;1;1;1;0;5;2;2;1;1;4;4;10;12;12
12;GP;1;15;U;LE3;T;4;4;health;services;course;father;1;1;0;0;1;1;1;1;1;1;0;4;3;3;1;3;5;2;14;14;14
13;GP;1;15;U;GT3;T;4;3;teacher;other;course;mother;2;2;0;0;1;1;0;1;1;1;0;5;4;3;1;2;3;2;10;10;11
14;GP;1;15;U;GT3;A;2;2;other;other;home;other;1;3;0;0;1;0;0;1;1;1;1;4;5;2;1;1;3;0;14;16;16
15;GP;0;16;U;GT3;T;4;4;health;other;home;mother;1;1;0;0;1;0;0;1;1;1;0;4;4;4;1;2;2;4;14;14;14
16;GP;0;16;U;GT3;T;4;4;services;services;reputation;mother;1;3;0;0;1;1;1;1;1;1;0;3;2;3;1;2;2;6;13;14;14
17;GP;0;16;U;GT3;T;3;3;other;other;reputation;mother;3;2;0;1;1;0;1;1;1;0;0;5;3;2;1;1;4;4;8;10;10
18;GP;1;17;U;GT3;T;3;2;services;services;course;mother;1;1;3;0;1;0;1;1;1;1;0;5;5;5;2;4;5;16;6;5;5
19;GP;1;16;U;LE3;T;4;3;health;other;home;father;1;1;0;0;0;1;1;1;1;1;0;3;1;3;1;3;5;4;8;10;10
20;GP;1;15;U;GT3;T;4;3;teacher;other;reputation;mother;1;2;0;0;0;0;0;1;1;1;0;4;4;1;1;1;1;0;13;14;15
21;GP;1;15;U;GT3;T;4;4;health;health;other;father;1;1;0;0;1;1;0;1;1;1;0;5;4;2;1;1;5;0;12;15;15
22;GP;1;16;U;LE3;T;4;2;teacher;other;course;mother;1;2;0;0;0;0;1;1;1;1;0;4;5;1;1;3;5;2;15;15;16
23;GP;1;16;U;LE3;T;2;2;other;other;reputation;mother;2;2;0;0;1;0;1;1;1;1;0;5;4;4;2;4;5;0;13;13;12
24;GP;0;15;R;GT3;T;2;4;services;health;course;mother;1;3;0;1;1;1;1;1;1;1;0;4;3;2;1;1;5;2;10;9;8
25;GP;0;16;U;GT3;T;2;2;services;services;home;mother;1;1;2;0;1;1;0;0;1;1;0;1;2;2;1;3;5;14;6;9;8
26;GP;1;15;U;GT3;T;2;2;other;other;home;mother;1;1;0;0;1;1;0;1;1;1;0;4;2;2;1;2;5;2;12;12;11
27;GP;1;15;U;GT3;T;4;2;health;services;other;mother;1;1;0;0;0;1;0;1;1;1;0;2;2;4;2;4;1;4;15;16;15
28;GP;1;16;U;LE3;A;3;4;services;other;home;mother;1;2;0;1;1;0;1;1;1;1;0;5;3;3;1;1;5;4;11;11;11
29;GP;1;16;U;GT3;T;4;4;teacher;teacher;home;mother;1;2;0;0;1;1;1;1;1;1;1;4;4;5;5;5;5;16;10;12;11
30;GP;1;15;U;GT3;T;4;4;health;services;home;mother;1;2;0;0;1;1;0;0;1;1;0;5;4;2;3;4;5;0;9;11;12
31;GP;1;15;U;GT3;T;4;4;services;services;reputation;mother;2;2;0;0;1;0;1;1;1;1;0;4;3;1;1;1;5;0;17;16;17
32;GP;1;15;R;GT3;T;4;3;teacher;at_home;course;mother;1;2;0;0;1;0;1;1;1;1;1;4;5;2;1;1;5;0;17;16;16
33;GP;1;15;U;LE3;T;3;3;other;other;course;mother;1;2;0;0;0;0;1;0;1;1;0;5;3;2;1;1;2;0;8;10;12
34;GP;1;16;U;GT3;T;3;2;other;other;home;mother;1;1;0;0;1;1;0;0;1;1;0;5;4;3;1;1;5;0;12;14;15
35;GP;0;15;U;GT3;T;2;3;other;other;other;father;2;1;0;0;1;0;1;1;1;0;0;3;5;1;1;1;5;0;8;7;6
36;GP;1;15;U;LE3;T;4;3;teacher;services;home;mother;1;3;0;0;1;0;1;1;1;1;0;5;4;3;1;1;4;2;15;16;18
37;GP;1;16;R;GT3;A;4;4;other;teacher;reputation;mother;2;3;0;0;1;0;1;1;1;1;1;2;4;3;1;1;5;7;15;16;15
38;GP;0;15;R;GT3;T;3;4;services;health;course;mother;1;3;0;1;1;1;1;1;1;1;0;4;3;2;1;1;5;2;12;12;11
39;GP;0;15;R;GT3;T;2;2;at_home;other;reputation;mother;1;1;0;1;1;1;1;1;1;0;0;4;3;1;1;1;2;8;14;13;13
40;GP;0;16;U;LE3;T;2;2;other;other;home;mother;2;2;1;0;1;0;1;0;1;1;1;3;3;3;1;2;3;25;7;10;11
41;GP;1;15;U;LE3;T;4;4;teacher;other;home;other;1;1;0;0;1;0;0;0;1;1;1;5;4;3;2;4;5;8;12;12;12
42;GP;1;15;U;GT3;T;4;4;services;teacher;course;father;1;2;0;0;1;0;1;1;1;1;0;4;3;3;1;1;5;2;19;18;18
43;GP;1;15;U;GT3;T;2;2;services;services;course;father;1;1;0;1;1;0;0;1;1;1;0;5;4;1;1;1;1;0;8;8;11
44;GP;0;16;U;LE3;T;2;2;other;at_home;course;father;2;2;1;1;0;0;1;1;1;1;0;4;3;3;2;2;5;14;10;10;9
45;GP;0;15;U;LE3;A;4;3;other;other;course;mother;1;2;0;1;1;1;1;1;1;1;1;5;2;2;1;1;5;8;8;8;6
46;GP;0;16;U;LE3;A;3;3;other;services;home;mother;1;2;0;0;1;0;0;1;1;1;0;2;3;5;1;4;3;12;11;12;11
47;GP;1;16;U;GT3;T;4;3;health;services;reputation;mother;1;4;0;0;0;0;1;1;1;1;0;4;2;2;1;1;2;4;19;19;20
48;GP;1;15;U;GT3;T;4;2;teacher;other;home;mother;1;2;0;0;1;1;0;1;1;0;0;4;3;3;2;2;5;2;15;15;14
49;GP;0;15;U;GT3;T;4;4;services;teacher;other;father;1;2;1;1;1;0;1;0;1;1;0;4;4;4;1;1;3;2;7;7;7
50;GP;0;16;U;LE3;T;2;2;services;services;course;mother;3;2;0;0;1;1;0;1;1;1;0;4;3;3;2;3;4;2;12;13;13
51;GP;0;15;U;LE3;T;4;2;health;other;other;mother;1;2;0;0;1;1;0;1;1;1;0;4;3;3;1;1;5;2;11;13;13
52;GP;1;15;U;LE3;A;4;2;health;health;other;father;2;1;1;0;0;0;0;1;1;0;0;5;5;5;3;4;5;6;11;11;10
53;GP;0;15;U;GT3;T;4;4;services;services;course;mother;1;1;0;1;1;1;0;1;1;1;0;3;3;4;2;3;5;0;8;10;11
54;GP;0;15;U;LE3;A;3;3;other;other;other;mother;1;1;0;0;0;1;0;1;1;1;0;5;3;4;4;4;1;6;10;13;13
55;GP;0;16;U;GT3;A;2;1;other;other;other;mother;1;2;0;0;0;1;1;1;1;1;1;5;3;4;1;1;2;8;8;9;10
56;GP;0;15;U;GT3;A;4;3;services;services;reputation;mother;1;2;0;0;1;1;1;1;1;1;0;4;3;2;1;1;1;0;14;15;15
57;GP;1;15;U;GT3;T;4;4;teacher;health;reputation;mother;1;2;0;0;1;0;1;1;1;0;0;3;2;2;1;1;5;4;14;15;15
58;GP;1;15;U;LE3;T;1;2;other;at_home;home;father;1;2;0;1;1;0;1;1;1;1;0;4;3;2;1;1;5;2;9;10;9
59;GP;0;16;U;GT3;T;4;2;services;other;course;mother;1;2;0;0;1;0;0;1;1;1;0;4;2;3;1;1;5;2;15;16;16
60;GP;0;16;R;GT3;T;4;4;health;teacher;other;mother;1;2;0;0;1;0;1;1;1;0;0;2;4;4;2;3;4;6;10;11;11
61;GP;0;16;U;GT3;T;1;1;services;services;course;father;4;1;0;1;1;0;1;0;1;1;1;5;5;5;5;5;5;6;10;8;11
62;GP;0;16;U;LE3;T;1;2;other;services;reputation;father;1;2;0;1;0;0;1;1;1;1;0;4;4;3;1;1;1;4;8;10;9
63;GP;0;16;U;GT3;T;4;3;teacher;health;home;mother;1;3;0;1;1;1;1;1;1;1;0;3;4;4;2;4;4;2;10;9;9
64;GP;0;15;U;LE3;T;4;3;services;services;reputation;father;1;2;0;1;0;0;1;1;1;1;1;4;4;4;2;4;2;0;10;10;10
65;GP;0;16;U;LE3;T;4;3;teacher;services;course;mother;3;2;0;0;1;0;1;1;1;1;0;5;4;3;1;2;1;2;16;15;15
66;GP;1;15;U;GT3;A;4;4;other;services;reputation;mother;1;4;0;0;1;0;1;0;1;1;1;1;3;3;5;5;3;4;13;13;12
67;GP;0;16;U;GT3;T;3;1;services;other;course;mother;1;4;0;1;1;1;0;1;1;1;0;4;3;3;1;2;5;4;7;7;6
68;GP;0;15;R;LE3;T;2;2;health;services;reputation;mother;2;2;0;1;1;1;0;1;1;1;0;4;1;3;1;3;4;2;8;9;8
69;GP;0;15;R;LE3;T;3;1;other;other;reputation;father;2;4;0;0;1;0;0;0;1;1;0;4;4;2;2;3;3;12;16;16;16
70;GP;1;16;U;GT3;T;3;1;other;other;reputation;father;2;4;0;0;1;1;0;1;1;1;0;4;3;2;1;1;5;0;13;15;15
71;GP;1;15;U;GT3;T;4;2;other;other;course;mother;1;4;0;0;0;0;0;1;1;1;0;3;3;3;1;1;3;0;10;10;10
72;GP;0;15;R;GT3;T;1;1;other;other;reputation;mother;1;2;2;1;1;0;0;0;1;1;1;3;3;4;2;4;5;2;8;6;5
73;GP;1;16;U;GT3;T;3;1;other;other;reputation;mother;1;1;0;0;0;0;1;1;1;0;0;5;3;2;2;2;5;2;12;12;14
74;GP;0;16;U;GT3;T;3;3;other;services;home;mother;1;2;0;1;1;1;1;1;1;1;0;4;3;3;2;4;5;54;11;12;11
75;GP;1;15;U;GT3;T;4;3;teacher;other;home;mother;1;2;0;0;1;1;1;1;1;1;0;4;3;3;2;3;5;6;9;9;10
76;GP;1;15;U;GT3;T;4;0;teacher;other;course;mother;2;4;0;0;0;0;1;1;1;1;0;3;4;3;1;1;1;8;11;11;10
77;GP;0;16;U;GT3;T;2;2;other;other;reputation;mother;1;4;0;0;0;1;0;1;1;1;1;5;2;3;1;3;3;0;11;11;11
78;GP;1;17;U;GT3;T;2;1;other;other;home;mother;2;1;3;1;1;0;1;1;0;1;0;4;5;1;1;1;3;2;8;8;10
79;GP;0;16;U;GT3;T;3;4;at_home;other;course;mother;1;2;0;0;1;0;0;1;1;1;0;2;4;3;1;2;3;12;5;5;5
80;GP;1;15;U;GT3;T;2;3;other;services;course;father;1;1;0;1;1;1;1;0;1;1;1;3;2;2;1;3;3;2;10;12;12
81;GP;1;15;U;GT3;T;2;3;other;other;home;mother;1;3;0;1;0;1;0;0;1;1;0;5;3;2;1;2;5;4;11;10;11
82;GP;0;15;U;LE3;T;3;2;services;other;reputation;mother;1;2;0;0;1;1;0;1;1;1;0;4;4;4;1;1;5;10;7;6;6
83;GP;1;15;U;LE3;T;2;2;services;services;home;mother;2;2;0;0;0;1;1;1;1;1;0;5;3;3;1;3;4;4;15;15;15
84;GP;0;15;U;GT3;T;1;1;other;other;home;father;1;2;0;0;1;0;1;0;1;1;0;4;3;2;2;3;4;2;9;10;10
85;GP;0;15;U;GT3;T;4;4;services;services;reputation;father;2;2;2;0;0;1;0;1;1;1;1;4;4;4;2;3;5;6;7;9;8
86;GP;0;16;U;LE3;T;2;2;at_home;other;course;mother;1;2;0;0;1;0;0;1;1;0;0;4;3;4;1;2;2;4;8;7;6
87;GP;0;15;U;GT3;T;4;2;other;other;reputation;mother;1;3;0;0;1;0;1;1;1;1;0;5;3;3;1;3;1;4;13;14;14
88;GP;1;16;U;GT3;T;2;2;services;other;reputation;father;2;2;1;0;0;1;1;0;1;1;0;4;4;2;1;1;3;12;11;10;10
89;GP;1;16;U;LE3;A;4;4;teacher;health;reputation;mother;1;2;0;0;1;0;0;1;1;0;0;4;1;3;3;5;5;18;8;6;7
90;GP;0;16;U;GT3;T;3;3;other;other;home;mother;1;3;0;0;1;1;0;1;1;1;1;4;3;3;1;3;4;0;7;7;8
91;GP;0;15;U;GT3;T;4;3;services;other;reputation;mother;1;1;0;0;0;1;1;1;1;1;0;4;5;5;1;3;1;4;16;17;18
92;GP;0;16;U;LE3;T;3;1;other;other;home;father;1;2;0;1;1;0;0;1;1;0;0;3;3;3;2;3;2;4;7;6;6
93;GP;0;16;U;GT3;T;4;2;teacher;services;home;mother;2;2;0;0;1;1;1;1;1;1;0;5;3;3;1;1;1;0;11;10;10
94;GP;1;15;U;LE3;T;2;2;services;health;reputation;mother;1;4;0;0;1;0;1;1;1;1;0;4;3;4;1;1;4;6;11;13;14
95;GP;0;15;R;GT3;T;1;1;at_home;other;home;mother;2;4;1;1;1;1;1;1;1;1;0;3;1;2;1;1;1;2;7;10;10
96;GP;1;16;R;GT3;T;4;3;services;other;reputation;mother;2;1;0;1;1;0;1;0;1;1;0;3;3;3;1;1;4;2;11;15;15
97;GP;0;16;U;GT3;T;2;1;other;other;course;mother;1;2;0;0;1;1;0;1;1;0;1;4;3;5;1;1;5;2;8;9;10
98;GP;0;16;U;GT3;T;4;4;other;other;reputation;mother;1;1;0;0;0;0;1;0;1;1;0;5;3;4;1;2;1;6;11;14;14
99;GP;0;16;U;GT3;T;4;3;other;at_home;course;mother;1;3;0;1;1;1;0;1;1;1;0;5;3;5;1;1;3;0;7;9;8
100;GP;1;16;U;GT3;T;4;4;services;services;other;mother;1;1;0;1;1;1;1;1;1;1;0;4;5;5;5;5;4;14;7;7;5
101;GP;1;16;U;GT3;T;4;4;services;teacher;other;father;1;3;0;0;1;0;1;1;1;1;1;4;4;3;1;1;4;0;16;17;17
102;GP;1;15;U;GT3;T;4;4;services;other;course;mother;1;1;0;0;1;0;1;0;1;1;0;5;3;3;1;1;5;4;10;13;14
103;GP;0;15;U;GT3;T;3;2;services;other;home;mother;2;2;0;1;1;1;0;1;1;1;0;4;3;5;1;1;2;26;7;6;6
104;GP;1;15;U;GT3;A;3;4;services;other;course;mother;1;2;0;0;1;1;1;1;1;1;0;5;4;4;1;1;1;0;16;18;18
105;GP;0;15;U;GT3;A;3;3;other;health;reputation;father;1;4;0;1;0;0;0;1;1;0;0;4;3;3;1;1;4;10;10;11;11
106;GP;0;15;U;GT3;T;2;2;other;other;course;mother;1;4;0;1;1;1;0;1;1;1;0;5;1;2;1;1;3;8;7;8;8
107;GP;1;16;U;GT3;T;3;3;services;other;home;father;1;3;0;0;1;0;1;1;1;1;0;5;3;3;1;1;5;2;16;18;18
108;GP;1;15;R;GT3;T;4;4;other;other;home;father;4;4;0;0;1;1;1;1;1;1;1;1;3;5;3;5;1;6;10;13;13
109;GP;0;16;U;LE3;T;4;4;health;health;other;mother;1;3;0;0;1;1;1;1;1;1;1;5;4;5;1;1;4;4;14;15;16
110;GP;1;15;U;LE3;A;4;4;teacher;teacher;course;mother;1;1;0;0;0;0;1;1;1;1;0;5;5;3;1;1;4;6;18;19;19
111;GP;0;16;R;GT3;T;3;3;services;other;reputation;father;1;3;1;1;1;0;1;1;1;1;0;4;1;2;1;1;2;0;7;10;10
112;GP;0;16;U;GT3;T;2;2;at_home;other;home;mother;1;2;1;1;0;0;1;1;1;1;0;3;1;2;1;1;5;6;10;13;13
113;GP;1;15;U;LE3;T;4;2;teacher;other;course;mother;1;1;0;0;0;0;0;1;1;1;0;3;5;2;1;1;3;10;18;19;19
114;GP;1;15;R;GT3;T;2;1;health;services;reputation;mother;1;2;0;0;0;0;1;1;1;1;1;5;4;2;1;1;5;8;9;9;9
115;GP;1;16;U;GT3;T;4;4;teacher;teacher;course;father;1;2;0;0;1;0;1;1;1;1;0;5;4;4;1;2;5;2;15;15;16
116;GP;1;15;U;GT3;T;4;4;other;teacher;reputation;father;2;2;0;0;1;0;1;1;1;0;0;4;4;3;1;1;2;2;11;13;14
117;GP;1;16;U;GT3;T;3;3;other;services;home;father;2;1;0;0;0;0;1;1;1;1;0;5;4;2;1;1;5;0;13;14;13
118;GP;1;17;R;GT3;T;1;3;other;other;course;father;3;2;1;0;1;0;1;1;1;1;0;5;2;4;1;4;5;20;9;7;8
119;GP;1;15;U;GT3;T;3;4;other;other;reputation;father;1;1;0;0;0;0;0;1;1;1;0;3;4;3;1;2;4;6;14;13;13
120;GP;0;15;U;GT3;T;1;2;at_home;services;course;mother;1;2;0;0;0;0;0;0;1;1;0;3;2;3;1;2;1;2;16;15;15
121;GP;1;15;U;GT3;T;2;2;services;services;home;father;1;4;0;0;1;1;1;1;1;1;0;5;5;4;1;2;5;6;16;14;15
122;GP;0;16;U;LE3;T;2;4;other;health;course;father;2;2;0;0;1;1;1;1;1;1;1;4;2;2;1;2;5;2;13;13;13
123;GP;1;16;U;GT3;T;4;4;health;other;course;mother;1;1;0;0;1;0;1;1;1;1;0;3;4;4;1;4;5;18;14;11;13
124;GP;0;16;U;GT3;T;2;2;other;other;home;mother;1;2;0;0;0;1;0;1;1;1;1;5;4;4;1;1;5;0;8;7;8
125;GP;1;15;U;GT3;T;3;4;services;services;home;father;1;1;0;1;0;0;0;1;1;1;0;5;5;5;3;2;5;0;13;13;12
126;GP;0;15;U;LE3;A;3;4;other;other;home;mother;1;2;0;1;0;0;1;1;1;1;1;5;3;2;1;1;1;0;7;10;11
127;GP;0;19;U;GT3;T;0;1;at_home;other;course;other;1;2;3;0;1;0;0;0;0;0;0;3;4;2;1;1;5;2;7;8;9
128;GP;1;18;R;GT3;T;2;2;services;other;reputation;mother;1;1;2;0;1;0;1;1;1;1;0;3;3;3;1;2;4;0;7;4;0
129;GP;1;16;R;GT3;T;4;4;teacher;teacher;course;mother;1;1;0;0;0;1;1;1;1;1;0;3;5;5;2;5;4;8;18;18;18
